start_time,end_time,max_time,peak_width,peak_risetime,peak_falltime,peak_flux
120014156.02955858,120019389.02955858,120016523.02955858,3679.540404091759,2366.621979088872,1312.9184250028866,102.93947
120028551.02955858,120032755.02955858,120030840.02955858,2632.0292415160093,2288.559708262461,343.46953325354843,61.356583
120044674.02955858,120051707.02955858,120047938.02955858,4648.763490253452,1672.3854386674648,2976.378051585987,75.5082
120162666.74616309,120163873.74616309,120162929.74616309,1206.9790205765894,262.03047514127684,944.9485454353126,133.34784
120182483.57744628,120182788.57744628,120182575.57744628,293.9236845902765,91.59799539367063,202.32568919660582,83.68366
120198388.57744628,120202506.57744628,120199279.57744628,2329.825271825832,890.8456232450244,1438.9796485808074,78.641815
120206698.57744628,120211728.57744628,120209542.57744628,3230.7793219410523,1044.442337186676,2186.3369847543763,80.83662
120204634.57744628,120223703.57744628,120214748.57744628,12979.702810482911,8314.419082530374,4665.283727952537,97.41476
120226261.57744628,120230784.57744628,120227271.57744628,1899.402327998996,1009.030506256644,890.371821742352,89.37861
120233897.57744628,120238103.57744628,120235933.57744628,2372.3333114825364,2035.4064225403417,336.92688894219464,71.33955
120242918.57744628,120266878.57744628,120255074.57744628,16546.058029089836,8463.5507526695,8082.507276420336,82.452065
120342088.399845,120344554.399845,120344047.399845,549.9868274516484,42.0790662285508,507.9077612230976,429.18835
120396020.110874,120396311.110874,120396165.110874,290.429163853154,144.33697346717236,146.09219038598167,355.84387
120429746.110874,120430591.110874,120429893.110874,844.7904117628932,146.54087741526746,698.2495343476257,207.23769
120457405.92704497,120458456.92704497,120457748.92704497,1051.6431406602533,342.8633725089421,708.7797681513111,295.25302
120455068.92704497,120467997.92704497,120465392.92704497,8974.936348977335,6369.009763832408,2605.9265851449272,292.96603
120585092.4946621,120585984.4946621,120585288.4946621,892.1754774502924,195.50830275710223,696.6671746931902,1412.2798
120594255.4946621,120596524.4946621,120594667.4946621,2269.2362120381986,411.38837918068566,1857.847832857513,1466.8749
120748555.67658898,120749514.67658898,120748896.67658898,959.6484572993973,340.8012179756406,618.8472393237566,1939.458
120758469.67658898,120759443.67658898,120758590.67658898,974.3434742761219,120.75801308192968,853.5854611941922,2528.1775
120773257.67658898,120776586.67658898,120773586.67658898,552.2991365930284,328.6393620271738,223.6597745658546,1836.5613
120790807.599685,120792161.599685,120791380.599685,1353.6955770216784,572.3241982507286,781.3713787709498,849.8102
120829734.599685,120846798.599685,120835467.599685,8974.74831117173,3105.6068052159753,5869.141505955755,652.24786
135028735.23432,135030423.23432,135029283.23432,1687.7476416645732,547.3808513358017,1140.3667903287715,1506.3097
135049320.981535,135050677.981535,135049978.981535,1357.0337957410075,657.1283952613912,699.9054004796162,1082.1311
135143253.73440003,135148720.73440003,135144512.73440003,3895.4449802768886,1258.0249295333542,2637.4200507435344,298.4545
135146564.73440003,135148497.73440003,135148194.73440003,363.82487903280344,59.836913143364654,303.9879658894388,280.59445
135153615.73440003,135157636.73440003,135155286.73440003,2440.494055674324,90.4219845905136,2350.0720710838104,333.19812
135216434.50494003,135216998.50494003,135216623.50494003,527.5363649626302,188.9163951145494,338.6199698480807,395.56845
135266019.50494003,135275819.50494003,135271872.50494003,6376.820392970178,4142.403638906202,2234.4167540639755,331.83795
135367065.249865,135368419.249865,135367824.249865,1354.0873543412818,758.7555335420184,595.3318207992634,644.3228
135448483.036509,135460884.036509,135451759.036509,8725.548593980551,1440.3428675754622,7285.205726405089,1739.3225
135504881.726605,135505582.726605,135504987.726605,701.2545011890797,105.43919042606649,595.8153107630133,347.13202
135509418.726605,135510502.726605,135509652.726605,1084.109574883987,233.12531551596112,850.984259368026,480.81775
135520140.726605,135522512.726605,135520443.726605,501.5023107509842,302.9950755516911,198.50723519929306,567.5941
135540590.726605,135547295.726605,135544522.726605,4823.53159085579,2050.4811775461712,2773.0504133096183,499.27795
135646753.47873902,135647376.47873902,135647011.47873902,623.5440490945184,257.8771379805985,365.6669111139199,16215.322
135689750.27281,135695642.27281,135692193.27281,3917.25260774856,467.8947203026728,3449.357887445887,3578.673
135738496.93659997,135742843.93659997,135741935.93659997,2336.678123741099,1428.6288585786074,908.0492651624918,1059.8368
135744200.93659997,135748795.93659997,135745320.93659997,2580.5178040043274,1118.9938895175392,1461.5239144867883,997.39166
135788461.93659997,135797587.93659997,135795498.93659997,4213.717309457388,4171.248663260398,42.46864619699045,1211.4563
135801273.93659997,135807487.93659997,135804775.93659997,3199.1076660702092,486.97902023687493,2712.1286458333343,1367.3109
135836386.73182502,135844881.73182502,135837349.73182502,6419.58225429003,962.0494627572389,5457.532791532791,6459.91
